hospital_name,last_updated_on,hospital_address,description,payer_name,plan_name,estimated_amount,standard_charge|min,standard_charge|max
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Amerihealth,Amerihealth Dc Healthy Families Mco,966,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Blue Cr/Sh Fep,Blue Cr/Sh Fep Basic Ppo,1246.68,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Blue Cr/Sh Fep,Blue Cr/Sh Fep Focus Ppo,1409.62,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Blue Cr/Sh Fep,Blue Cr/Sh Fep Standard Ppo,1239.18,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Blue Cr/Sh Med Adv,Blue Cr/Sh Med Adv Oos,1136.2,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Blue Cr/Sh Nasco,Blue Cr/Sh National Acct,1164.34,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Ppo Other,1193.62,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Hmo Pos,1166.56,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Admin,Carefirst Administrators,1213.33,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Admin,Carefirst Administrators Jhu Only,1190.88,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Blue Choice,Blue Cr/Sh Natl Accts Bluechoice,1203.04,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Blue Choice,Carefirst Blue Choice Advantage,1224.54,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Blue Choice,Carefirst Blue Choice Hmo,1237.48,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Blue Choice,Carefirst Blue Choice Open Access,1220.55,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Community Health Plan Maryland Mco,Carefirst Community Health Plan Md,1144.97,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Med Adv Dsnp Umms,Carefirst Medicare Adv Dual Hmo-Snp,1365.38,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Medicare Advantage,Carefirst Medicare Advantage Core,1107.11,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Medicare Advantage,Carefirst Medicare Advantage Enhanced,1365.56,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Medicare Advantage,Carefirst Bc/Bs Medicare Advantage Ppo,1142.32,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Ncas,Carefirst Blue Cr/Sh Ncas,964.14,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Preferred,Carefirst Blue Cr/Sh Pos,1458.34,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Preferred,Carefirst Blue Cr/Sh,1227.16,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Carefirst Tpa,Carefirst Bc/Bs Tpa,1178.19,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Cigna,Cigna Connect Epo,1168.7,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Cigna,Cigna Allegiance,2830.12,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Cigna,Cigna Fl Baycare Open Access Plan/Ooa,976.06,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Cigna,Wellfleet Cigna Jhu Student Health,954.85,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Cigna,Cigna Regional Network/Oap/Pos/Localplus,1210.08,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Cigna,Cigna Shared Administration,1369.99,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Cigna,Cigna Other,1187.12,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Cigna,Cigna Regional Ppo/Epo/Oth,1159.31,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Cigna,Gwh-Cigna,1221.8,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Cigna Med Adv,Cigna Medicare Advantage Ppo,1058.46,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Ehp,Ehp Jhcp Direct Primary Care Ppo 01/2023,1619.36,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Ehp,Ehp Employee Health Plan New 12/2022,1117.2,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Humana Ccn,Humana Choice Care Network,1137.01,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Humana Hmo/Ppo,Humana Health Plan Ppo,1424.22,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Humana Medicare Advantage,Humana Choice Ppo Med Adv,1147.5,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Humana Medicare Advantage,Humana Gold Plus Hmo Med Adv,1514.19,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Premier Ppo,1833.48,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md D-Snp Hmo,1549.93,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Hmo Select Va Med Adv,6372.25,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Ppo Med Adv,1203.54,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Hmo Med Adv,1267.16,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Primary Ppo Med Adv,981,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Kaiser,Kaiser Medicare Advantage Plan,1361.01,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Kaiser,Kaiser Flex Choice Opt 2/Opt 3,1253.17,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Kaiser,Kaiser Signature,1264.16,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Kaiser,Kaiser Select,1301.55,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Kaiser,Kaiser Other,999.05,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Kaiser,Kaiser Permanente Sf Epo Pos Ppo,1280.13,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Kaiser Permanente Maryland Mco,Kaiser Permanente Mco Md,1177.98,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Maryland Physicians Care,Maryland Physicians Care Mco,1010.02,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,Priority Partners,Priority Partners Mco New 9/2022,1149.93,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Behavioral Health,Ubh/Uhc Mco,2029.85,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Behavioral Health,Optum/United Behavioral Health Care,1263.39,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,Definity Health,1075.61,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,The Empire Plan-United Healthcare,1328.56,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Healthcare Choice/Choice Plus/Sl,1211.67,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Healthcare Choice/Choice Plus/At,1244.84,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Mdipa/Optimum Choice Preferred,1061.01,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Healthcare Ppo Options/Atlanta,1107.9,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Healthcare Core,4239.24,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Healthcare Global,1294.21,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Healthcare Golden Rule,600,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Healthcare Other,1340.88,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,Geha - Umr,1142.65,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,Geha-United Shared Services,1280.12,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Healthcare Compass,522.1,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Healthcare Hmo Select/Sel Plus/At,1192.22,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Hlth Student Resources,1500.42,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,Optimum Choice Mdonex,961.99,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Healthcare Shared Services,1323,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Medical Resource (Umr),1284.68,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,Oxford Health Plan,952.58,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Healthcare Balance,924.6,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Healthcare Hmo Select/Sel Plus/Sl,1166.92,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Healthcare Value,920.56,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare,United Mdipa/Optimum Choice Hmo,1277.16,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare Mco,Uhc Community Plan Mco Md,1167.93,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare Med Adv,United Community Medicare Dual Snp,1043.13,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare Med Adv,Aarp Medicare Complete Ppo,1247.7,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare Med Adv,United Healthcare Chrnc Nurs Med Adv,1121.98,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare Med Adv,United Healthcare Grp Ind Med Adv Ppo,1346.82,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare Med Adv,United Healthcare Care Improvement Plus Med Adv,1400.41,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare Med Adv,United Healthcare Medicare Complete,1228.04,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 4 Type A ED Visits,United Healthcare Med Adv,Aarp Medicare Complete Hmo,1076.37,522.1,6372.25
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Aetna Elect Choice Open Access,1726.36,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Aetna Innovation Health,1950.06,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Aetna Meritain Health,1943.87,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Aetna Open Choice Ppo/Other,1938.59,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Aetna Health Network Only,2658.77,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Aetna Select,520.79,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Aetna World Bank Employees,1780.94,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Aetna Hmo,1706.95,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Aetna Managed Choice Open Access,2310.02,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Aetna Select Open Access,3112.56,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Aetna Choice Pos I And Ii,2078.28,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Aetna Other,1727.37,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Aetna Signature Administrators,2169.47,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna,Luminare Health Benefit-Aetna Signature Adm,1917.41,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna Better Health Mco,Aetna Better Health Of Maryland,2693.63,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna Med Adv,Aetna Medicare Ppo,3617.11,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Aetna Med Adv,Aetna Medicare Hmo,2327.01,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Amerigroup Dc,Amerigroup Dc Healthcare Alliance Mco (New 4/2023),7992.05,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Amerigroup Dc,Amerigroup Dc Healthy Families Mco (New 4/2023),2368.32,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Amerihealth,Amerihealth Caritas Dc Alliance Mco,1728.8,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Amerihealth,Amerihealth Dc Healthy Families Mco,1759.58,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Blue Cr/Sh Fep,Blue Cr/Sh Fep Basic Ppo,2144.04,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Blue Cr/Sh Fep,Blue Cr/Sh Fep Focus Ppo,2604.4,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Blue Cr/Sh Fep,Blue Cr/Sh Fep Standard Ppo,2122.6,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Blue Cr/Sh Med Adv,Blue Cr/Sh Med Adv Oos,2278.72,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Blue Cr/Sh Nasco,Blue Cr/Sh National Acct,1922.34,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Ppo Other,2038.51,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Hmo Pos,7772.36,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Carefirst Admin,Carefirst Administrators,1739.08,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Carefirst Admin,Carefirst Administrators Jhu Only,1975,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Carefirst Blue Choice,Carefirst Blue Choice Advantage,2253.91,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Carefirst Blue Choice,Blue Cr/Sh Natl Accts Bluechoice,1762.16,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Carefirst Blue Choice,Carefirst Blue Choice Hmo,2171.05,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Carefirst Blue Choice,Carefirst Blue Choice Open Access,2126.62,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Carefirst Community Health Plan Maryland Mco,Carefirst Community Health Plan Md,1755.72,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Carefirst Medicare Advantage,Carefirst Bc/Bs Medicare Advantage Ppo,9901.2,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Carefirst Ncas,Carefirst Blue Cr/Sh Ncas,4379.12,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Carefirst Preferred,Carefirst Blue Cr/Sh Pos,1767.18,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Carefirst Preferred,Carefirst Blue Cr/Sh,1899.07,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Carefirst Tpa,Carefirst Bc/Bs Tpa,2659.82,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Cigna,Cigna Connect Epo,2243.5,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Cigna,Cigna Allegiance,1826.87,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Cigna,Cigna Regional Network/Oap/Pos/Localplus,1966.34,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Cigna,Cigna Shared Administration,1679.17,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Cigna,Cigna Other,2120.11,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Cigna,Cigna Regional Ppo/Epo/Oth,2046.6,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Cigna,Gwh-Cigna,2181.21,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Cigna Med Adv,Cigna Medicare Advantage Hmo,2134.87,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Ehp,Ehp Employee Health Plan New 12/2022,2073.79,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Humana Medicare Advantage,Humana Choice Ppo Med Adv,3027.39,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Premier Ppo,5396.71,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Hmo Med Adv,1817.01,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Primary Ppo Med Adv,3103.58,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Ppo Med Adv,4371.9,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Kaiser,Kaiser Flex Choice Opt 2/Opt 3,2011.5,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Kaiser,Kaiser Medicare Advantage Plan,2088.13,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Kaiser,Kaiser Signature,1697.15,389.55,9901.2
Suburban Hospital,7/1/2025,"8600 Old Georgetown Road, Bethesda, MD 20814",Level 5 Type A ED Visits,Kaiser,Kaiser Select,2112.76,389.55,9901.2
