hospital_name,last_updated_on,hospital_address,description,payer_name,plan_name,estimated_amount,standard_charge|min,standard_charge|max
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Syncope And Collapse,1199 Seiu,Commercial,17686.21,8729.92,17686.21
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Chest Pain,Aetna,Commercial,11351.09,7193.92,20266.72
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Circulatory System Diagnoses With Mcc,Aetna,Medicare Advantage,16217.14,2534,22106.13
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Circulatory System Diagnoses With Cc,Oxford,Commercial,12504,12504,12504
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Percutaneous Cardiovascular Procedures With Intraluminal Device With Mcc Or 4+ Arteries/Intraluminal,Emblem,Medicare Advantage,27627.22,27627.22,28179.76
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Percutaneous Cardiovascular Procedures With Intraluminal Device Without Mcc,Aetna,Commercial,61263.15,17732.07,61263.15
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Minor Small And Large Bowel Procedures With Mcc,Affinity,Medicaid,22476.46,22476.46,22476.46
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Minor Small And Large Bowel Procedures Without Cc/Mcc,1199 Seiu,Commercial,5357.56,5357.56,5357.56
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Anal And Stomal Procedures With Mcc,Fidelis,Medicaid,10616.47,2921.63,10616.47
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Inguinal And Femoral Hernia Procedures With Cc,Empire Healthplus,Medicaid,14819.54,3520.23,18375.82
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Major Gastrointestinal Disorders And Peritoneal Infections With Mcc,Empire,Ppo,21330.91,21330.91,21330.91
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Major Gastrointestinal Disorders And Peritoneal Infections With Cc,United Healthcare,Commercial,34533.34,34533.34,34533.34
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Digestive Malignancy With Cc,United Healthcare,Medicare Advantage,6906,6906,6906
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Gastrointestinal Hemorrhage With Mcc,Aetna,Medicare Advantage,15223.18,7896.42,15223.18
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Gastrointestinal Hemorrhage With Cc,Empire,Medicare Advantage,9746.54,1945,9746.54
